"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
131,"Ofner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"344","40","344","40","","",NA,NA,NA,NA
132,"Mayot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","13","55","13","","",NA,NA,NA,NA
133,"Virtanen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","7","86","7","","",NA,NA,NA,NA
134,"Spizzirri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"Quinn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","4","18","4","","",NA,NA,NA,NA
136,"Garín",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","17","70","17","","",NA,NA,NA,NA
137,"Burruchaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,"Gomez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","3","22","3","","",NA,NA,NA,NA
139,"Nagal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35","21","35","21","","",NA,NA,NA,NA
140,"Acosta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","33","88","33","","","0.375","0",3,5
141,"Krueger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","6","50","6","","",NA,NA,NA,NA
142,"Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","3","80","3","","",NA,NA,NA,NA
142,"Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","12","76","12","","",NA,NA,NA,NA
143,"Cilic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170","14","170","14","","",NA,NA,NA,NA
144,"Basilashvili",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Mannarino","58.29%","204","350","45","17.35%","101","582","45","74.48%","426","572","45","205","45","205","45","","",NA,NA,NA,NA
146,"Landaluce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
